data;dia_semana;nome_feriado
01/01/2021;sexta-feira;Confraternização Universal
15/02/2021;segunda-feira;Carnaval
16/02/2021;terça-feira;Carnaval
21/02/2021;domingo;Aniversário do Mauro
02/04/2021;sexta-feira;Paixão de Cristo
21/04/2021;quarta-feira;Tiradentes
01/05/2021;sábado;Dia do Trabalho
03/06/2021;quinta-feira;Corpus Christi
07/09/2021;terça-feira;Independência do Brasil
12/10/2021;terça-feira;dia da Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2021;terça-feira;Finados
15/11/2021;segunda-feira;Proclamação da República
25/12/2021;sábado;Natal